Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-07-15,ABBOTINDIA,EQ,1237.15,1225.0,1246.5,1215.15,1218.0,1220.8,1226.64,2139.0,262379305000.0,,1138.0,0.532
2010-07-16,ABBOTINDIA,EQ,1220.8,1230.4,1230.4,1210.1,1213.6,1216.9,1222.91,2743.0,335444090000.0,,1657.0,0.6041
2010-07-19,ABBOTINDIA,EQ,1216.9,1200.25,1233.0,1200.25,1220.05,1219.9,1219.96,4275.0,521532995000.0,,1993.0,0.4662
2010-07-20,ABBOTINDIA,EQ,1219.9,1222.3,1230.9,1206.0,1224.0,1222.15,1219.37,4245.0,517624259999.9999,,2370.0,0.5583
2010-07-21,ABBOTINDIA,EQ,1222.15,1229.95,1229.95,1205.65,1205.8,1209.85,1214.54,1351.0,164084705000.0,,784.0,0.5803
2010-07-22,ABBOTINDIA,EQ,1209.85,1218.0,1219.0,1200.0,1201.0,1204.5,1209.69,1914.0,231534180000.0,,1197.0,0.6254
2010-07-23,ABBOTINDIA,EQ,1204.5,1192.0,1224.4,1181.1,1214.0,1203.9,1201.62,3641.0,437511420000.0,,2127.0,0.5842
2010-07-26,ABBOTINDIA,EQ,1203.9,1215.0,1215.0,1190.3,1190.35,1192.9,1199.07,1181.0,141610295000.0,,542.0,0.4589
2010-07-27,ABBOTINDIA,EQ,1192.9,1185.55,1200.95,1185.0,1185.05,1189.2,1192.55,847.0,101008805000.0,,308.0,0.3636
2010-07-28,ABBOTINDIA,EQ,1189.2,1194.7,1194.7,1166.05,1167.45,1170.1,1177.18,1281.0,150796155000.0,,925.0,0.7221
2010-07-29,ABBOTINDIA,EQ,1170.1,1199.85,1224.0,1150.0,1151.6,1154.05,1163.27,1965.0,228583120000.0,,913.0,0.4646
2010-07-30,ABBOTINDIA,EQ,1154.05,1159.95,1159.95,1138.0,1144.8,1141.5,1144.48,1023.0,117080505000.0,,460.0,0.4497
2010-08-02,ABBOTINDIA,EQ,1141.5,1130.0,1150.1,1122.0,1131.3,1137.35,1136.59,11885.0,1350836665000.0,,11257.0,0.9472
2010-08-03,ABBOTINDIA,EQ,1137.35,1139.95,1150.0,1127.0,1137.5,1136.25,1135.33,1249.0,141802370000.0,,524.0,0.4195
2010-08-04,ABBOTINDIA,EQ,1136.25,1131.7,1186.0,1131.55,1180.0,1180.2,1162.71,5120.0,595307720000.0,,1650.0,0.3223
2010-08-05,ABBOTINDIA,EQ,1180.2,1180.0,1185.0,1150.15,1153.0,1156.55,1165.29,1633.0,190292670000.0,,849.0,0.5199
2010-08-06,ABBOTINDIA,EQ,1156.55,1155.95,1174.95,1155.05,1166.0,1159.7,1161.93,700.0,81335145000.0,,293.0,0.4186
2010-08-09,ABBOTINDIA,EQ,1159.7,1140.0,1194.4,1134.4,1194.0,1185.5,1178.15,2418.0,284875875000.0,,1664.0,0.6881999999999999
2010-08-10,ABBOTINDIA,EQ,1185.5,1185.5,1240.0,1150.0,1175.0,1163.65,1179.42,4074.0,480497520000.0,,2555.0,0.6271
2010-08-11,ABBOTINDIA,EQ,1163.65,1152.0,1186.8,1135.0,1171.0,1158.05,1158.62,2708.0,313754350000.0,,1828.0,0.675
2010-08-12,ABBOTINDIA,EQ,1158.05,1159.0,1170.0,1155.0,1166.95,1161.1,1161.55,614.0,71319005000.0,,310.0,0.5049
2010-08-13,ABBOTINDIA,EQ,1161.1,1168.8,1168.8,1144.0,1144.0,1149.4,1154.12,773.0,89213610000.0,,514.0,0.6648999999999999
2010-08-16,ABBOTINDIA,EQ,1149.4,1157.95,1157.95,1135.6,1136.6,1139.0,1144.41,694.0,79422320000.0,,493.0,0.7104
2010-08-17,ABBOTINDIA,EQ,1139.0,1149.95,1149.95,1125.55,1125.55,1128.8,1133.94,1655.0,187667220000.0,,649.0,0.3921
2010-08-18,ABBOTINDIA,EQ,1128.8,1126.05,1172.0,1126.05,1170.0,1152.3,1148.56,3081.0,353872115000.0,,1763.0,0.5722
2010-08-19,ABBOTINDIA,EQ,1152.3,1180.0,1189.95,1145.55,1158.0,1159.0,1159.32,1275.0,147813625000.0,,839.0,0.658
2010-08-20,ABBOTINDIA,EQ,1159.0,1166.0,1170.0,1151.2,1160.0,1160.3,1159.57,924.0,107143995000.0,,373.0,0.4037
2010-08-23,ABBOTINDIA,EQ,1160.3,1160.0,1180.0,1147.85,1175.0,1171.45,1167.36,1426.0,166464895000.0,,799.0,0.5603
2010-08-24,ABBOTINDIA,EQ,1171.45,1171.0,1180.0,1155.0,1180.0,1162.35,1162.34,2091.0,243044975000.0,,1800.0,0.8608
2010-08-25,ABBOTINDIA,EQ,1162.35,1168.8,1168.8,1125.0,1165.0,1152.6,1144.46,4892.0,559870295000.0,,2709.0,0.5538000000000001
2010-08-26,ABBOTINDIA,EQ,1152.6,1148.0,1175.0,1140.0,1172.0,1168.8,1160.09,1826.0,211833090000.0,,1314.0,0.7195999999999999
2010-08-27,ABBOTINDIA,EQ,1168.8,1170.0,1185.0,1145.0,1160.0,1160.6,1158.64,1300.0,150623400000.0,,853.0,0.6562
2010-08-30,ABBOTINDIA,EQ,1160.6,1159.0,1173.9,1136.6,1136.6,1143.9,1150.68,2193.0,252344125000.0,,1263.0,0.5759000000000001
2010-08-31,ABBOTINDIA,EQ,1143.9,1127.0,1144.95,1122.05,1129.9,1129.35,1133.79,1343.0,152267725000.0,,790.0,0.5882000000000001
2010-09-01,ABBOTINDIA,EQ,1129.35,1141.95,1145.0,1130.0,1135.05,1138.1,1138.93,377.0,42937505000.0,,233.0,0.618
2010-09-02,ABBOTINDIA,EQ,1138.1,1147.95,1148.0,1128.1,1137.55,1131.6,1137.87,10591.0,1205118690000.0,,10225.0,0.9654
2010-09-03,ABBOTINDIA,EQ,1131.6,1139.95,1149.5,1120.0,1127.0,1130.05,1134.8,1734.0,196775035000.0,,881.0,0.5081
2010-09-06,ABBOTINDIA,EQ,1130.05,1133.0,1148.0,1133.0,1135.25,1136.0,1137.71,2109.0,239942280000.0,,1627.0,0.7715000000000001
2010-09-07,ABBOTINDIA,EQ,1136.0,1135.55,1145.95,1130.25,1130.25,1135.25,1136.97,2438.0,277192800000.0,,1650.0,0.6768000000000001
2010-09-08,ABBOTINDIA,EQ,1135.25,1125.8,1164.95,1125.0,1135.0,1141.6,1148.11,18249.0,2095192445000.0,,4205.0,0.2304
2010-09-09,ABBOTINDIA,EQ,1141.6,1155.0,1155.0,1136.2,1136.6,1142.5,1145.53,1144.0,131048635000.0,,741.0,0.6476999999999999
2010-09-13,ABBOTINDIA,EQ,1142.5,1150.0,1154.95,1112.05,1112.05,1115.75,1125.8,4650.0,523498109999.9999,,3648.0,0.7845000000000001
2010-09-14,ABBOTINDIA,EQ,1115.75,1120.0,1124.9,1105.0,1114.95,1112.6,1114.59,2999.0,334265925000.0,,2324.0,0.7748999999999999
2010-09-15,ABBOTINDIA,EQ,1112.6,1117.95,1118.95,1096.7,1109.95,1110.25,1108.26,2497.0,276733445000.0,,1323.0,0.5297999999999999
2010-09-16,ABBOTINDIA,EQ,1110.25,1111.0,1135.0,1100.0,1130.0,1121.65,1116.87,2058.0,229851665000.0,,1667.0,0.81
2010-09-17,ABBOTINDIA,EQ,1121.65,1144.95,1145.0,1115.0,1119.05,1119.95,1130.33,2101.0,237482365000.0,,1208.0,0.5750000000000001
2010-09-20,ABBOTINDIA,EQ,1119.95,1121.95,1130.55,1107.5,1110.0,1112.1,1114.62,1825.0,203418845000.0,,1460.0,0.8
2010-09-21,ABBOTINDIA,EQ,1112.1,1114.95,1120.05,1102.0,1120.0,1114.1,1110.94,3021.0,335615490000.0,,1781.0,0.5895
2010-09-22,ABBOTINDIA,EQ,1114.1,1105.05,1120.0,1105.05,1109.0,1110.15,1113.17,847.0,94285845000.0,,623.0,0.7354999999999999
2010-09-23,ABBOTINDIA,EQ,1110.15,1099.0,1129.85,1099.0,1126.95,1126.95,1119.88,852.0,95413925000.0,,657.0,0.7711
2010-09-24,ABBOTINDIA,EQ,1126.95,1132.3,1140.0,1118.0,1118.0,1121.0,1127.08,2094.0,236010130000.0,,1706.0,0.8147
